Image Generation Started: 2025-11-17T02:18:34.926Z

[2025-11-17T02:18:34.928Z] Connecting to: homemadekahoot.gfbwla5.mongodb.net/homemadekahoot_dev?appName=homemadekahoot
[2025-11-17T02:18:35.124Z] Connected to MongoDB successfully
[2025-11-17T02:18:36.932Z] Found 12897 words that need images
[2025-11-17T02:18:36.936Z] Starting image generation for 12897 words (parallel processing with 5 keys)
[2025-11-17T02:55:49.179Z] Key2 | 2666 / 5200 | Image Added | (fault)
[2025-11-17T02:56:46.297Z] Key1 | 141 / 2600 | Image Added | (never)
[2025-11-17T02:56:46.328Z] Key3 | 5274 / 7800 | Image Added | (pronunciation)
[2025-11-17T02:57:02.620Z] Key2 | 2667 / 5200 | Image Added | (feather)
[2025-11-17T02:57:59.964Z] Key3 | 5275 / 7800 | Image Added | (punctuation)
[2025-11-17T02:58:00.496Z] Key1 | 142 / 2600 | Image Added | (not)
[2025-11-17T02:58:16.132Z] Key2 | 2668 / 5200 | Image Added | (fee)
[2025-11-17T02:58:25.237Z] Key4 | 7862 / 10400 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (subordinate)
[2025-11-17T02:59:13.513Z] Key3 | 5276 / 7800 | Image Added | (quiz)
[2025-11-17T02:59:14.975Z] Key1 | 143 / 2600 | Image Added | (now)
[2025-11-17T02:59:30.723Z] Key2 | 2669 / 5200 | Image Added | (feedback)
[2025-11-17T02:59:33.693Z] Key6 | 13029 / 15600 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (misfire)
[2025-11-17T03:00:27.059Z] Key3 | 5277 / 7800 | Image Added | (racket)
[2025-11-17T03:00:28.568Z] Key1 | 144 / 2600 | Image Added | (o’clock)
[2025-11-17T03:00:44.637Z] Key2 | 2670 / 5200 | Image Added | (finance)
[2025-11-17T03:00:46.524Z] Key5 | 10465 / 12897 | Image Added | (hump)
[2025-11-17T03:01:40.710Z] Key3 | 5278 / 7800 | Image Added | (raincoat)
[2025-11-17T03:01:42.048Z] Key1 | 145 / 2600 | Image Added | (off)
